Team,TotalPoints,Racers,Races
P1RE,10595196.709071023,48,76561
PR2W,6606693.226421627,48,47118
N8TE,6502630.456653519,40,48167
NTPD1,6149769.4317011,50,44446
SSH,5997760.637596047,44,43136
SPRME,5984446.994724143,43,41276
CAM0,4905892.18369067,48,35809
PSR,4837553.043540249,49,35124
CZBZ,4151859.319835721,48,29959
NCT,4072558.283422143,48,29818
BEEHVE,4006433.888338866,46,29947
TCHR,3877720.2241340517,44,28513
LXW,3719984.0632532774,25,26571
S0RC,3422289.2148151533,49,23902
FASZ,3348458.459206789,28,24157
RFTP,2576551.4895558553,48,21305
LOVGOD,2478980.4704587813,41,17195
ZTAGZ,2451185.830969136,29,16645
4CU,2394174.100609944,31,13997
190IQ,2236862.183536552,15,16147
ERC,2104883.497862014,10,14759
PCMSG,1916223.4507118282,11,10850
NTO,1805118.7664713592,49,14280
MEYBO,1789652.3201490138,28,12808
DLX,1711582.7747354696,41,13789
NHS,1665486.1617313314,46,13009
RZ,1631670.8953608135,41,12661
DIV1,1404158.7668190913,31,9802
WPMWPM,1390975.1922854576,46,11008
F0J,1389936.4174569433,38,9959
50I,1383503.0825730532,38,9712
LLJ4R,1355004.589708918,39,11086
NTP444,1275786.424273337,44,10445
T0WER,1255546.611742381,32,8298
BRAVE,1223120.4790259995,33,9361
RI5E,1177634.4606948192,44,9244
B0MBA,1153063.2053550542,41,7525
AMPX,1123922.9166410607,33,8329
ZSH,1118180.3553792082,32,9280
RVNT,1066840.4504402047,44,8978
ZH,1056777.9793374024,34,7508
FAM3,1048053.544763011,37,8204
0PT,993630.334108853,46,8416
TWO,956657.9455497967,27,6861
OVCR,941768.7612630209,48,8026
AL3,891914.1500398732,33,6854
NS7,846527.4724494494,46,6460
SSNAKS,817839.4771541194,50,6805
SK4P,780798.4850150117,39,6178
LE4GUE,763124.0166663643,40,5890
SZM,740296.9282658686,40,6406
TRUST,734826.1700710219,25,5797
XWX,732060.3345824844,34,5941
HELIUM,726778.9564032882,48,6264
TNGN,712082.4511447956,43,5256
D4RKER,693004.465290743,28,4892
NGREEN,671779.4063989728,28,5374
NTW,589460.6337713923,46,4211
ESTER,585491.2265446521,38,4305
WTRMN,564757.7232909141,32,4374
ST0RM,547830.9856396442,14,4033
ZER0SE,510144.2180924086,42,3731
DCPTCN,507963.3854074089,27,4137
MED13L,500598.78976334364,28,3421
SAIL,490348.01580107585,23,3744
LSH,485686.0299997455,24,3913
T3X5,475955.4650082065,12,3416
LTC,469680.2289618494,22,3120
ASPN,463590.84230440506,37,3779
FUZHOU,439514.9214288298,40,3293
UNREST,420379.95844788454,13,3054
SNTL,407454.6501319555,21,2936
W2V,406681.004109372,16,2991
FERARI,402442.54938704625,35,3417
AL0N3D,393648.1051522944,35,3002
PIGFLY,391248.0938717917,29,2958
RL1,390005.01604348037,26,2852
2VCTRY,336658.29875312606,16,2742
HONT,320712.13758729666,17,2221
KBSM,320275.17202728416,23,2377
DUAL,319553.3293458194,19,2308
HZE,315679.7193602314,20,2334
CATPLT,312081.0794103386,32,2509
RIV4L,310520.9073939719,15,2300
VLN,296253.3931766467,33,2595
NTT,287905.54606279486,24,2193
4EP,275651.19440202514,29,2419
BAYLOR,269436.1622974066,26,2359
KAPOK,243557.72299860785,28,1999
PR2WX,232520.2458274008,24,2154
FLAGZ,230309.91050334874,25,1922
DOGGIS,222171.9619598707,30,1761
VXL,214783.12730085125,11,1619
LOFH,208162.6468995859,8,1485
SER,203058.99612562402,17,1487
GSGMWO,202624.52349899634,28,1686
RL,195790.02594966523,24,1570
NI1TRO,192143.89047774786,21,1366
NTRS34,187151.09820654866,31,1589
TOTUF7,186812.45853511977,20,1558
VTI,171743.25843630184,23,1362
KR0W,152529.60789376398,11,1079
EXOTIC,134635.58043754732,9,1067
SG1MAS,127160.03145296853,23,943
TALK,123563.2038747553,12,901
NTM,113709.32741138028,18,766
BMW,97054.31008614367,6,720
FRLB,77088.1020898815,2,521
TGNM,63947.33255776846,10,510
GLZ,50228.039337765695,10,371
NT20,45796.71207528237,2,425
SPRINT,43412.59086153396,8,320
CYCV,25458.03405187465,2,176
EMZ,17621.544739849665,3,130
NT,15768.4251442547,7,111
XS9,13746.992055695118,1,118
2S,1655.5235913879983,1,12
VFU,407.9303861788618,0,3
PTB,0.0,0,0
