Team,TotalPoints,Racers,Races
P1RE,11361815.189327985,48,82112
SPRME,7857988.758199945,46,54000
PR2W,7463865.145953262,49,53248
N8TE,7004642.695291149,38,51679
NTPD1,6905224.339419,50,50034
SSH,6497567.568408996,43,46643
CAM0,5661126.525903753,47,40785
PSR,5501027.999297559,48,39865
CZBZ,5078730.512086369,47,35998
NCT,4935168.7891034,46,36005
LXW,4927355.96460587,30,34952
BEEHVE,4524589.573340894,46,33811
TCHR,4054231.7241305383,44,29810
S0RC,3882793.5259426585,47,27023
FASZ,3596215.8919499577,29,25876
TVX,3302693.6531939777,43,24002
RFTP,3182779.0696894196,44,26236
4CU,3000047.0894470727,35,17664
ZTAGZ,2811342.6214774926,27,18986
LOVGOD,2662725.922895577,44,18465
ERC,2525223.759704052,11,17670
190IQ,2376499.629624838,13,17123
PCMSG,2340848.6741283685,11,13249
NTO,1967656.8971262388,49,15631
MEYBO,1860725.4446918517,29,13385
RZ,1758850.1353918468,43,13664
DLX,1757601.9419970699,42,14146
NHS,1743249.6927576638,46,13617
WPMWPM,1620277.7601045102,45,12877
LLJ4R,1568331.8406444832,39,12840
F0J,1506401.5245680993,38,10791
DIV1,1502081.2867319814,32,10441
50I,1434444.960017701,37,10090
T0WER,1416761.0384194085,34,9387
NTP444,1366679.902157507,44,11169
BRAVE,1269736.8330790952,34,9741
AMPX,1259439.6740775912,35,9308
RI5E,1243204.2459916223,42,9732
TWO,1230190.915314994,29,8740
B0MBA,1174372.8507875814,41,7699
ZSH,1166159.0564935857,31,9693
ZH,1138829.764213345,34,8081
0PT,1136249.2282727794,47,9694
FAM3,1135346.666221526,43,8899
RVNT,1087593.0352908173,42,9148
OVCR,1047262.6184674808,50,8991
A3,1011212.3067663977,22,7284
NS7,955702.842495011,38,7176
AL3,951846.1164812589,31,7297
SSNAKS,843114.8066653281,40,7023
SK4P,796652.0257917235,40,6299
SZM,787510.1488911109,40,6807
HELIUM,784852.4528622435,50,6741
LE4GUE,770888.7421813087,41,5957
TRUST,751377.7655980176,24,5925
XWX,742942.8641147856,34,6036
TNGN,737637.6503761318,44,5440
D4RKER,711582.4931852776,27,5029
NGREEN,694562.3523452365,31,5562
SAIL,655142.890195949,22,5047
ESTER,636420.8896110697,37,4687
NTW,605689.1090528853,47,4346
WTRMN,605247.8811634891,31,4595
LTC,598002.3377286413,22,3820
ZER0SE,591703.4357274348,40,4304
ST0RM,573610.2039630862,15,4233
ASPN,560217.4438657215,37,4561
T3X5,556522.2722892984,13,4000
ALFJ,556374.6780850566,41,4419
DCPTCN,528012.8335351435,27,4297
PIGFLY,527539.3103862553,29,3815
LSH,516930.96090738283,24,4166
MED13L,504989.6501899667,28,3451
SNTL,484719.94359687367,23,3440
FUZHOU,454054.81921098725,41,3403
AL0N3D,443905.4946918759,37,3330
W2V,424288.4720140285,16,3126
UNREST,420379.95844788454,13,3054
RL1,413797.0335436415,29,3025
FERARI,413413.5718522544,35,3496
KEYNT,395434.2771081497,5,2228
HONT,388050.6819506741,17,2679
2VCTRY,383371.8085963909,16,3115
KBSM,365159.8343567969,25,2712
DUAL,351973.18460667646,19,2537
HZE,332515.8048268556,20,2452
CATPLT,324685.1561528003,32,2597
FOX109,320467.31195496797,23,2297
RIV4L,313744.2309531248,14,2323
VLN,309780.8518848075,33,2721
NTT,293741.4350612816,23,2241
4EP,276817.0268226846,29,2430
PR2WX,272399.68668236834,23,2520
BAYLOR,270187.8603516563,26,2366
KAPOK,259079.04482102336,28,2133
DOGGIS,258246.986946876,33,2058
FLAGZ,238772.93989969205,25,1995
1BESTW,227027.67900879722,20,1655
VXL,226138.30821911458,11,1708
NI1TRO,214429.30472487462,22,1519
LOFH,212424.72827942655,8,1517
SER,208694.47486705024,16,1534
GSGMWO,206636.20090686408,27,1723
RL,205684.8534475573,25,1649
TOTUF7,189461.75916909636,20,1580
NTRS34,187878.10671541566,31,1595
VTI,175411.20855110756,24,1394
B4HL,174085.33614538834,11,1238
KR0W,167678.10141510647,11,1187
GOATOG,158384.16073835985,18,1322
BR34K,152623.26099472257,3,1155
EXOTIC,150594.2730599968,8,1203
SG1MAS,127674.07407059975,23,947
NTM,125754.67159392136,18,841
TALK,123563.2038747553,12,901
LEDIHH,106308.9456673752,7,818
792231,105878.69459009252,2,727
BMW,103624.79234560521,7,770
BEES,84868.76284663806,3,553
FRLB,77088.1020898815,2,521
TGNM,65658.58170393785,10,525
GLZ,50228.039337765695,10,371
NT20,49909.88441623606,2,464
YE1LOW,43689.35994367778,4,333
SPRINT,43412.59086153396,8,320
CYCV,25458.03405187465,2,176
EMZ,17621.544739849665,3,130
NT,15768.4251442547,7,111
XS9,13746.992055695118,1,118
2S,1655.5235913879983,1,12
IQ200,1190.638803871288,1,10
VFU,523.7600311243679,1,4
PTB,0.0,0,0
