Username,ProfileLink,DisplayName,Title,CarID,CarHueAngle,Speed,Races,Points,Accuracy,Team
internetgoneviral,https://www.nitrotype.com/racer/internetgoneviral,InternetTyper YT,Nitro Rich,379,80,108.22170919925236,17082,2541202.956730367,96.53113346129213,P1RE
nincalebgamez,https://www.nitrotype.com/racer/nincalebgamez,⚡Nincaleb⚡,PAC Contender,77,200,89.53436939804777,13623,1923976.0338504305,97.55662617249463,P1RE
adventx11,https://www.nitrotype.com/racer/adventx11,GIVENTGOLDIGIVE20MIL,Nitro Rich,241,320,122.83243074461132,11595,1846941.8938595494,98.68140381225773,ZTAGZ
barfbr01,https://www.nitrotype.com/racer/barfbr01,Lucky Doves,Lord of the Practice,77,160,87.05033811984731,11976,1591215.701458737,92.57403660294659,NCT
apicomplexa,https://www.nitrotype.com/racer/apicomplexa,Apicomplexa,Unda da Sea,68,0,159.1512273600083,8910,1542279.604992049,96.3913476604216,SPRME
fritter17,https://www.nitrotype.com/racer/fritter17,Swifty_YT,Turkey Roaster,107,20,101.97259268058272,10469,1464282.6520659549,92.63651004641761,TVX
jesustake_the_wheel,https://www.nitrotype.com/racer/jesustake_the_wheel,DylanJ 390k,Operation: Typing,166,20,94.95219775992263,10450,1458292.5635698948,94.6251824357863,P1RE
weslanea,https://www.nitrotype.com/racer/weslanea,truly broken 85k,Keyboard Smasher,77,180,93.87375961937731,10235,1434109.3974696395,95.35942446842603,SPRME
aksi13,https://www.nitrotype.com/racer/aksi13,Lavalogy,Nitro Rich,58,0,54.369057333488755,11636,1434014.7122935085,96.8981776822261,LLJ4R
night_mare45677,https://www.nitrotype.com/racer/night_mare45677,Kobe Nightmare_,League Champion,371,60,169.81617762189583,7426,1369418.3516122159,99.72987825342908,4CU
billy33,https://www.nitrotype.com/racer/billy33,,On Thin Ice,35,0,57.07089072278186,10694,1356912.726668642,98.71629095682934,N8TE
77uu,https://www.nitrotype.com/racer/77uu,SlimJimPingu,Lord of the Practice,155,0,116.517175066313,9330,1349529.636977821,91.39732761019852,SSH
