Team,TotalPoints,Racers,Races
P1RE,11267110.67603993,48,81430
SPRME,7595200.387025464,44,52138
PR2W,7294770.237437843,49,52091
N8TE,6952457.186992099,38,51307
NTPD1,6840851.09819683,50,49539
SSH,6406905.859518673,43,46008
CAM0,5559976.858213385,47,40097
PSR,5426979.486574704,48,39317
CZBZ,4926081.593372174,45,34980
NCT,4851019.005969603,47,35381
LXW,4823404.587350928,28,34238
BEEHVE,4487095.574363182,46,33537
TCHR,4035592.3576591434,43,29663
S0RC,3862989.521082805,47,26895
FASZ,3580176.954871642,29,25775
TVX,3175594.6601960133,45,23107
RFTP,3136411.203162065,45,25866
4CU,2877045.8749667606,32,16937
ZTAGZ,2708974.298895789,27,18333
LOVGOD,2637677.3157412,43,18289
ERC,2512141.2189078378,12,17591
190IQ,2344295.6661679205,13,16894
PCMSG,2333009.2187050325,11,13181
NTO,1935641.6482373846,49,15370
MEYBO,1853867.8791627693,29,13332
DLX,1749767.3208344742,42,14081
NHS,1721887.4217808084,46,13453
RZ,1707040.6890452628,43,13254
WPMWPM,1554549.642106982,50,12372
LLJ4R,1526144.3563679124,39,12495
DIV1,1497351.0980389633,32,10408
F0J,1476080.5541244373,36,10595
50I,1411799.6171217286,37,9930
T0WER,1409560.1931949717,34,9337
NTP444,1359880.3275909773,43,11115
BRAVE,1259720.5953018665,35,9661
AMPX,1238964.6588744023,35,9176
RI5E,1237066.042158621,42,9683
TWO,1230190.915314994,29,8740
B0MBA,1173806.6636709636,41,7694
ZSH,1166159.0564935857,31,9693
FAM3,1118874.6064852688,42,8765
0PT,1101823.7923217935,46,9387
ZH,1101675.8130894022,34,7816
RVNT,1084379.497815425,42,9123
OVCR,1030376.8111564765,48,8844
A3,1000846.0719637237,27,7214
NS7,951180.0012042978,38,7147
AL3,946126.1188743566,32,7254
SSNAKS,843114.8066653281,40,7023
SZM,786357.2683175268,40,6795
SK4P,781152.6162772187,39,6181
LE4GUE,770776.9770477946,40,5956
HELIUM,759623.0865081227,50,6534
TRUST,751095.0497798059,24,5923
XWX,742400.6292074184,34,6032
TNGN,729700.569009043,44,5383
D4RKER,710378.1541037279,27,5021
NGREEN,692660.1386098712,30,5546
SAIL,631146.1849520851,22,4865
ESTER,624025.2332895683,37,4596
NTW,600040.0419385844,46,4295
LTC,598002.3377286413,22,3820
WTRMN,595583.8224744956,31,4545
ZER0SE,587934.5721936781,40,4277
ST0RM,568757.553650131,14,4198
ASPN,554252.5009448748,37,4511
ALFJ,550714.2429755159,44,4370
T3X5,530075.7425861497,13,3810
PIGFLY,527539.3103862553,29,3815
DCPTCN,525724.7282881931,27,4280
LSH,514211.05928937515,25,4143
MED13L,504238.96226525836,28,3446
SNTL,480778.03764468833,23,3416
FUZHOU,448901.8589029824,41,3366
AL0N3D,425227.5643406705,36,3223
W2V,424288.4720140285,16,3126
UNREST,420379.95844788454,13,3054
FERARI,412998.0703001149,35,3493
RL1,408596.05334014253,26,2989
2VCTRY,380848.72127312026,16,3095
HONT,376442.9959595555,18,2599
DUAL,351117.8855385583,19,2531
KBSM,348552.68828366743,27,2589
KEYNT,335343.90952215984,6,1904
HZE,332515.8048268556,20,2452
CATPLT,324685.1561528003,32,2597
FOX109,320467.31195496797,23,2297
RIV4L,311007.1824829503,14,2304
VLN,304629.68383832177,33,2673
NTT,292189.14369324,24,2230
4EP,276817.0268226846,29,2430
BAYLOR,269534.4346363335,26,2360
PR2WX,267946.6822220989,23,2481
KAPOK,254967.23738302823,28,2097
DOGGIS,253604.83279711314,32,2020
FLAGZ,238772.93989969205,25,1995
VXL,226138.30821911458,11,1708
1BESTW,224735.1544109964,19,1640
LOFH,212424.72827942655,8,1517
SER,208694.47486705024,16,1534
NI1TRO,208560.22825488413,22,1480
RL,205684.8534475573,25,1649
GSGMWO,203678.5739122743,26,1695
TOTUF7,189461.75916909636,20,1580
NTRS34,187151.09820654866,31,1589
VTI,173820.33537836003,24,1382
B4HL,169072.5022466223,11,1203
KR0W,163357.27004562956,10,1154
GOATOG,158129.16947068824,18,1320
BR34K,152623.26099472257,3,1155
EXOTIC,145708.6998203768,8,1162
SG1MAS,127674.07407059975,23,947
TALK,123563.2038747553,12,901
NTM,122325.38064422272,18,820
LEDIHH,106308.9456673752,7,818
792231,105878.69459009252,2,727
BMW,100949.85471988618,6,747
FRLB,77088.1020898815,2,521
BEES,74570.74678627896,3,487
TGNM,65658.58170393785,10,525
GLZ,50228.039337765695,10,371
NT20,49909.88441623606,2,464
YE1LOW,43689.35994367778,4,333
SPRINT,43412.59086153396,8,320
CYCV,25458.03405187465,2,176
EMZ,17621.544739849665,3,130
NT,15768.4251442547,7,111
XS9,13746.992055695118,1,118
2S,1655.5235913879983,1,12
IQ200,1190.638803871288,1,10
VFU,523.7600311243679,1,4
PTB,0.0,0,0
