Team,TotalPoints,Racers,Races
P1RE,12601672.043936035,40,91154
SPRME,10518558.342211917,41,72742
PR2W,8407117.61756776,50,59964
NTPD1,7995382.81215057,49,57907
N8TE,7834645.492635808,39,57570
SSH,7233035.771844303,37,51757
PSR,7006603.076605115,49,50900
CAM0,6722864.41792166,50,48081
CZBZ,6139176.702869949,47,43290
NCT,5663124.669851404,48,41403
LXW,5601656.30186107,49,39687
TVX,5382020.655584663,44,39237
BEEHVE,5183030.285164111,48,38802
TCHR,4409466.474066158,35,32584
S0RC,4406110.591096752,44,30624
FASZ,3884396.993052951,28,27846
RFTP,3429640.5003896416,49,28247
4CU,3385000.782864982,42,20032
ZTAGZ,3140444.192579403,32,21213
LOVGOD,2950524.986861622,45,20732
ERC,2891470.421054984,14,20174
190IQ,2559432.3781314706,12,18416
NTO,2247493.87483843,48,17930
WPMWPM,2033802.5771723294,43,16154
NHS,2022137.4426319452,47,15864
DLX,1987966.0192869904,43,16139
RZ,1984307.4602843227,39,15460
MEYBO,1970210.0543661842,26,14252
DIV1,1863160.476547966,36,12925
LLJ4R,1853081.4041646959,43,15159
F0J,1753487.3079320013,40,12577
NTP444,1697640.7667775613,46,13901
50I,1692822.61403644,42,11923
T0WER,1606704.245668583,36,10663
AMPX,1542198.331174942,42,11455
TWO,1502338.518102564,29,10602
RI5E,1418136.7287769178,45,11106
BRAVE,1375620.7171072108,38,10614
ZSH,1355255.6601182495,36,11264
RVNT,1305816.750876258,34,11010
FAM3,1303016.0755308173,44,10224
ZH,1263032.57692452,32,9002
OVCR,1234119.941661226,50,10578
B0MBA,1215588.61998749,43,8061
A3,1138465.343126358,22,8228
NS7,1076259.3324577017,39,8079
AL3,1054664.3761513606,30,8081
SSNAKS,970762.5620201961,49,8114
HELIUM,959080.2422598307,45,8151
TRUST,921791.002018082,23,7250
SZM,918628.7603314171,44,7940
LE4GUE,897111.1106606657,42,6993
XWX,847322.6411198529,37,6907
TNGN,840479.1485097266,44,6214
SK4P,833196.1768978637,41,6601
D4RKER,826593.6402250275,27,5832
NGREEN,826241.1101194379,37,6729
ESTER,801422.2945828171,35,5940
SAIL,796476.7292580411,27,6213
LTC,770968.1695916256,24,4891
NTW,729037.0713618598,49,5391
ZER0SE,725140.8261078409,42,5292
ALFJ,722177.1887875597,41,5767
KEYNT,721555.4092702026,6,4427
WTRMN,691865.7013402361,30,5222
ST0RM,684001.5715911947,16,5052
ASPN,659952.5544499562,39,5373
DCPTCN,651794.7549968181,30,5309
SNTL,636969.938257524,23,4505
T3X5,630101.3512939139,14,4530
LSH,604951.4365595501,26,4890
PIGFLY,579653.6357745638,32,4246
MED13L,567596.8107233777,30,3892
KBSM,545289.1775828123,33,4018
AL0N3D,524804.217564044,36,3931
RL1,514449.89174348273,30,3777
FUZHOU,503087.3461357381,41,3767
FERARI,492247.48977169505,38,4186
FOX109,467445.6199974599,28,3356
W2V,454184.29902646353,17,3351
UNREST,445929.90707947605,13,3253
DUAL,418484.1306398963,20,3018
HONT,415638.22422249214,18,2867
4EP,401379.45876526134,30,3525
CATPLT,379189.9870291325,32,3051
BAYLOR,378933.2742481301,27,3311
HZE,376616.4173538817,22,2768
VXL,361476.9511970944,11,2674
VLN,352226.5255845215,31,3023
RIV4L,344783.60083622806,14,2573
KAPOK,336499.03686271614,26,2772
DOGGIS,333157.70990059624,34,2690
NTT,325693.4181558639,22,2474
PR2WX,310253.23406684457,25,2870
RL,309831.1126731589,28,2356
1BESTW,290502.17297258024,20,2159
FLAGZ,283298.5129002241,27,2381
B4HL,257172.79828901097,11,1805
NI1TRO,246068.32206979278,25,1748
NTRS34,235166.46782687624,27,2027
LOFH,233657.56974537022,8,1674
GSGMWO,233529.2754582077,23,1952
TOTUF7,222658.33812977435,21,1876
SER,221314.5807487957,14,1632
VTI,201366.73618818278,24,1599
GOATOG,184798.4408211297,16,1535
KR0W,183031.651922462,10,1309
BR34K,170045.77476367078,3,1270
EXOTIC,160479.65089941592,7,1285
TALK,145544.60664307603,13,1059
NTM,140574.1869371955,19,934
SG1MAS,135839.54510226235,23,1009
BEES,135248.23358673247,3,879
LEDIHH,127947.57009896408,9,986
792231,121085.83914437689,2,832
BMW,115600.66263007805,8,867
FRLB,106266.98404164254,4,720
TGNM,71187.0598406094,10,574
GLZ,58587.46245561335,14,445
NT20,54771.81846981805,2,510
SPRINT,51585.83827251092,7,379
YE1LOW,50754.93272855211,4,381
CYCV,45443.20536544978,2,316
NT,19571.153724523476,8,139
XS9,19385.610840248723,1,167
EMZ,17731.087447588223,4,131
2S,1655.5235913879983,1,12
IQ200,1190.638803871288,1,10
VFU,523.7600311243679,1,4
2VCTRY,0.0,0,0
PTB,0.0,0,0
