Username,ProfileLink,DisplayName,Title,CarID,CarHueAngle,Speed,Races,Points,Accuracy,Team
internetgoneviral,https://www.nitrotype.com/racer/internetgoneviral,InternetTyper YT,Nitro Rich,286,0,108.02258521255655,20586,3062653.585544096,96.59915835733688,P1RE
nincalebgamez,https://www.nitrotype.com/racer/nincalebgamez,⚡Nincaleb⚡,PAC Contender,116,0,89.73319759956543,18554,2619886.4818613725,97.47127745162334,P1RE
lenatheplugz,https://www.nitrotype.com/racer/lenatheplugz,Go Gators,Endurance Racer,338,40,102.78620770060334,15517,2226440.9514377643,94.77577150323891,SPRME
ilikedufibxx,https://www.nitrotype.com/racer/ilikedufibxx,CheerfulTanZebra,Big Spender,266,200,113.47159258168972,13433,2010119.1624924422,95.47300547941336,TVX
barfbr01,https://www.nitrotype.com/racer/barfbr01,Lucky Doves,Practice Makes Perfect,77,260,87.22008031521072,14865,1987642.7705714642,93.1083469521957,NCT
weslanea,https://www.nitrotype.com/racer/weslanea,truly broken 85k,Keyboard Smasher,105,260,95.35827369886503,14009,1973312.461487085,95.3826925302449,SPRME
fritter17,https://www.nitrotype.com/racer/fritter17,Swifty_YT,Spring-a-round,107,280,102.0584434862515,13328,1869779.599306404,92.88903442864932,TVX
jesustake_the_wheel,https://www.nitrotype.com/racer/jesustake_the_wheel,DylanJ 390k,Operation: Typing,166,20,95.80707507170291,13230,1852529.949523731,94.67315104713248,P1RE
adventx11,https://www.nitrotype.com/racer/adventx11,GIVENTGOLDIGIVE20MIL,Nitro Rich,241,320,122.83243074461132,11595,1846941.8938595494,98.68140381225773,ZTAGZ
nxtfiregaming,https://www.nitrotype.com/racer/nxtfiregaming,Daisyyy QT,Encore,105,320,92.18883194910761,12895,1817844.4751613531,96.49432256219418,SPRME
aksi13,https://www.nitrotype.com/racer/aksi13,Lavalogy,League Champion,371,200,54.36435169065172,14558,1794152.0685777827,96.90167506954998,LLJ4R
billy33,https://www.nitrotype.com/racer/billy33,,On Thin Ice,105,0,57.53900947369,14084,1790578.6204797106,98.7311857707283,N8TE
givemegoldasap,https://www.nitrotype.com/racer/givemegoldasap,El1te Stxr,Not a Bot,77,240,119.24541425479356,11187,1671367.1117581779,93.59734767766213,NCT
77uu,https://www.nitrotype.com/racer/77uu,SlimJimPingu,Lord of the Practice,155,0,116.49733512347939,11400,1652238.5747908044,91.58573689629208,SSH
smalltownfame,https://www.nitrotype.com/racer/smalltownfame,summrs,"Peace, Love, Nitros",68,140,102.49253032343789,11004,1601906.154054194,96.2502417532905,TVX
redragon999,https://www.nitrotype.com/racer/redragon999,goldplz,Wave Breaker,110,340,140.1340673307858,9357,1558148.5308097766,97.91564481999715,CAM0
fzelmore4,https://www.nitrotype.com/racer/fzelmore4,8huh --,Not a Bot,338,160,72.82625058595058,11469,1519310.8483227792,97.11021757505004,P1RE
drey2000,https://www.nitrotype.com/racer/drey2000,Oliptical,Mega Winner,379,260,99.87313568602829,10588,1507296.9339936047,94.94614097469149,SPRME
gyguimbuiltdifferent,https://www.nitrotype.com/racer/gyguimbuiltdifferent,IBD Da Unappreciated,Nitro Rich,153,0,95.18969661239854,10519,1506614.123320422,97.04124956884806,P1RE
monster_77,https://www.nitrotype.com/racer/monster_77,3NightsAtTheMotel,"Peace, Love, Nitros",77,0,98.6558990378086,10810,1500717.4902519307,92.96771321380662,TVX
d22665ef573af1a89eba6d2776707848,https://www.nitrotype.com/racer/d22665ef573af1a89eba6d2776707848,Not Megan,Keyboard Cat,164,340,53.50326555640993,11908,1417246.1684819425,93.89725647604675,NTPD1
a4ebe577d455c102ed6ef8620230c4d9,https://www.nitrotype.com/racer/a4ebe577d455c102ed6ef8620230c4d9,Silis carpal tunnel,League Champion,303,0,115.68593225184021,8821,1380683.9668089903,99.16335826085265,N8TE
bobthebuilder120822,https://www.nitrotype.com/racer/bobthebuilder120822,BOBTHEBUILDER120822,Keyboard Cat,233,0,82.3814896693387,10225,1339600.8507444211,92.79100290509527,TVX
quwenley,https://www.nitrotype.com/racer/quwenley,YT quwenley,2icy4u,52,0,78.68357188533714,9804,1334977.0066643744,97.7212717822265,N8TE
070716f8e5153f91fa44db65db76c844,https://www.nitrotype.com/racer/070716f8e5153f91fa44db65db76c844,Abadger,Nitro Rich,338,0,168.94604276617858,7522,1330202.4982066615,95.86312210586449,N8TE
gimmickfps,https://www.nitrotype.com/racer/gimmickfps,Governor,2icy4u,198,0,93.82337472791556,9215,1322852.018770045,97.71462687079556,FASZ
34vela,https://www.nitrotype.com/racer/34vela,34 vela,League Champion,371,0,120.86802609803885,8428,1288122.8896050733,95.26564752217959,SPRME
5bd992bec28696388b283d9e48d5337e,https://www.nitrotype.com/racer/5bd992bec28696388b283d9e48d5337e,Can I be an officer,Tilted Typist,378,320,91.80241536896695,7909,1109101.2990324332,96.11490735764387,PR2W
