Username,ProfileLink,DisplayName,Title,CarID,CarHueAngle,Speed,Races,Points,Accuracy,Team
internetgoneviral,https://www.nitrotype.com/racer/internetgoneviral,InternetTyper YT,Nitro Rich,77,260,107.89064830037769,22218,3300635.534050188,96.49973173855165,P1RE
nincalebgamez,https://www.nitrotype.com/racer/nincalebgamez,⚡Nincaleb⚡,PAC Contender,77,0,89.46867797862346,19735,2785012.611519145,97.50310664370735,P1RE
lenatheplugz,https://www.nitrotype.com/racer/lenatheplugz,KarmaHard,Endurance Racer,120,220,103.30908260527585,17836,2571456.3042797334,95.06622864625956,SPRME
darkiexgold,https://www.nitrotype.com/racer/darkiexgold,-2025-,League Champion,371,0,100.1951482408342,17576,2499467.794291144,94.74446070745599,SAIL
ilikedufibxx,https://www.nitrotype.com/racer/ilikedufibxx,CheerfulTanZebra,Big Spender,266,200,107.44755712281896,16806,2474331.2377427863,95.7750589220516,TVX
weslanea,https://www.nitrotype.com/racer/weslanea,truly broken 90k,Keyboard Smasher,105,260,95.67104756415128,15546,2192103.160114068,95.3813621676957,SPRME
nxtfiregaming,https://www.nitrotype.com/racer/nxtfiregaming,Daisyyy QT,Encore,116,100,89.76583754042325,15612,2186211.4600381525,96.65324453277223,SPRME
jesustake_the_wheel,https://www.nitrotype.com/racer/jesustake_the_wheel,DylanJ 390k,Operation: Typing,166,20,95.82537569533373,15130,2118422.0342263426,94.66035479104826,P1RE
barfbr01,https://www.nitrotype.com/racer/barfbr01,Lucky Doves,Pilot,58,0,87.17800922072563,15533,2079007.4797321763,93.2136522629406,NCT
givemegoldasap,https://www.nitrotype.com/racer/givemegoldasap,El1te Stxr,North Pole Navigator,77,240,119.17929027407483,13412,2007726.0280205898,93.80072506074298,NCT
fritter17,https://www.nitrotype.com/racer/fritter17,Swifty_YT,Spring-a-round,107,280,102.12759965973424,14129,1985887.1519758755,93.04279247099167,TVX
aksi13,https://www.nitrotype.com/racer/aksi13,Lavalogy,League Champion,371,200,54.36996467792691,15536,1914766.5224199982,96.90379358850714,LLJ4R
billy33,https://www.nitrotype.com/racer/billy33,,On Thin Ice,105,0,57.40808686273696,14956,1900548.1350982192,98.73502166916226,N8TE
adventx11,https://www.nitrotype.com/racer/adventx11,GIVENTGOLDIGIVE20MIL,Nitro Rich,241,320,122.83243074461132,11595,1846941.8938595494,98.68140381225773,ZTAGZ
drey2000,https://www.nitrotype.com/racer/drey2000,KeyStorm,Mega Winner,55,160,100.1438856792052,12415,1776129.8097221241,95.32975446996781,SPRME
77uu,https://www.nitrotype.com/racer/77uu,SlimJimPingu,Lord of the Practice,155,0,116.67592752042555,12100,1755968.8838159812,91.65293774805939,SSH
smalltownfame,https://www.nitrotype.com/racer/smalltownfame,summrs,"Peace, Love, Nitros",68,140,102.42848696952193,11753,1709732.9238263895,96.2026062200256,TVX
monster_77,https://www.nitrotype.com/racer/monster_77,3NightsAtTheMotel,"Peace, Love, Nitros",77,0,98.73050465506978,12085,1680657.1937001096,93.10712298180036,TVX
bobthebuilder120822,https://www.nitrotype.com/racer/bobthebuilder120822,BOBTHEBUILDER120822,Keyboard Cat,68,0,82.96538672126074,12523,1646613.6181467893,92.93514985250178,TVX
redragon999,https://www.nitrotype.com/racer/redragon999,goldplz,Wave Breaker,110,340,140.8016024508071,9836,1641036.9957465816,97.91026350830705,CAM0
fzelmore4,https://www.nitrotype.com/racer/fzelmore4,8huh --,Not a Bot,338,160,72.77407740774078,11520,1525620.4892729516,97.1003809429575,P1RE
d22665ef573af1a89eba6d2776707848,https://www.nitrotype.com/racer/d22665ef573af1a89eba6d2776707848,Not Megan,Keyboard Cat,164,340,53.65401510835004,12613,1502263.711387065,93.91090706416996,NTPD1
070716f8e5153f91fa44db65db76c844,https://www.nitrotype.com/racer/070716f8e5153f91fa44db65db76c844,Abadger,Nitro Rich,338,0,168.99523992107058,8119,1438201.855500061,96.01222522706483,N8TE
a4ebe577d455c102ed6ef8620230c4d9,https://www.nitrotype.com/racer/a4ebe577d455c102ed6ef8620230c4d9,Silis carpal tunnel,League Champion,111,0,115.6525151899006,9175,1435885.5438639908,99.15953731780843,N8TE
quwenley,https://www.nitrotype.com/racer/quwenley,YT quwenley,2icy4u,53,0,78.73649754500818,10334,1407327.6759345017,97.71538066809633,N8TE
gimmickfps,https://www.nitrotype.com/racer/gimmickfps,Governor,2icy4u,198,0,93.82337472791556,9215,1322852.018770045,97.71462687079556,FASZ
34vela,https://www.nitrotype.com/racer/34vela,34 vela,League Champion,371,0,120.85675571593616,8429,1288225.3797720787,95.26527051517056,SPRME
fb806a1ca1f4ee5741e9971d4f316ca7,https://www.nitrotype.com/racer/fb806a1ca1f4ee5741e9971d4f316ca7,AllMight,Titan of the Track,230,20,103.31671572801362,7935,1167061.5747248512,96.97962265345174,SPRME
glorious_gaming1,https://www.nitrotype.com/racer/glorious_gaming1,daLEGND,Legendary Lapper,371,40,95.95886477723305,7997,1151402.556184357,97.29684013575948,LEGNDS
aquaberserker,https://www.nitrotype.com/racer/aquaberserker,Ouranos,League Champion,371,120,126.80780055239062,7235,1115241.9767966492,94.33397906481021,S0RC
5bd992bec28696388b283d9e48d5337e,https://www.nitrotype.com/racer/5bd992bec28696388b283d9e48d5337e,Can I be an officer,Tilted Typist,378,320,91.80410290180808,7915,1109943.8763505262,96.11445373559597,PR2W
racer2395,https://www.nitrotype.com/racer/racer2395,Mamba Typer,Keyboard Cat,260,0,135.15053392639004,6615,1093900.1121750518,98.68198991136113,PR2W
swaggyguy229,https://www.nitrotype.com/racer/swaggyguy229,Join LXW 4 Cash,Legendary Lapper,203,0,129.51811359060122,6679,1030408.0100914764,93.63721442730252,LXW
lorelaigilmoree,https://www.nitrotype.com/racer/lorelaigilmoree,No One,Keyboard Cat,338,80,85.56076622461399,7327,1021039.8606705986,97.59958308311832,NTPD1
glombara,https://www.nitrotype.com/racer/glombara,kardinal,Legendary Lapper,155,120,88.96836530492611,7544,1019283.2963741418,93.51320071050863,PSR
bb403ac5b26dd195b889631bce0e8fcc,https://www.nitrotype.com/racer/bb403ac5b26dd195b889631bce0e8fcc,Hahaha,Original Gangster,331,0,90.8099473855557,7245,1018217.9811289109,96.65472959798608,VKS
nileshgawli,https://www.nitrotype.com/racer/nileshgawli,nileshgawli,♪ So Delightful ♪,198,0,89.3152921105889,6958,977845.6355848917,97.15037550055506,NTPD1
sanduok,https://www.nitrotype.com/racer/sanduok,ur favorite princess,League Champion,371,0,103.5443202803163,6552,960078.2964500895,96.54741448792215,S0RC
futureneuromillion,https://www.nitrotype.com/racer/futureneuromillion,Future Neuromillion,League Champion,77,60,93.55247378410306,6984,959319.547416026,93.58436854117204,SPRME
donp1,https://www.nitrotype.com/racer/donp1,L2trappy1,Nitro Rich,338,0,100.7101661378511,6634,954939.9854551144,95.73759125462288,N8TE
nateb3a,https://www.nitrotype.com/racer/nateb3a,Flower,League Champion,371,240,98.93707185713609,6624,937222.4911645337,94.66132907013224,TWO
mycowz,https://www.nitrotype.com/racer/mycowz,BrownLimeImpala,Shattered,228,80,93.07479938861292,6501,930504.3427932152,97.67642539774424,CAM0
kamryn234t54345,https://www.nitrotype.com/racer/kamryn234t54345,༺Survivor༻,Pit Crew,315,60,93.54341827625386,6795,903151.9966060843,90.55846109571377,FASZ
stonksfish,https://www.nitrotype.com/racer/stonksfish,Voxel 7k,Original Gangster,209,320,103.0709022678253,6284,902112.0495722654,94.73491311583322,VXL
nebu1951,https://www.nitrotype.com/racer/nebu1951,LEGNDnebu,Overdrive,338,200,110.69446131903543,5835,888524.5248189932,98.02233498759128,LEGNDS
deperst2,https://www.nitrotype.com/racer/deperst2,Jonathan Playz,Raw Racing Recruit,89,260,113.23373513105841,5675,861759.9037304629,96.95760602000546,SPRME
givemedarewards,https://www.nitrotype.com/racer/givemedarewards,existence,Secret Agent,105,0,122.87401809684796,5590,858140.244668252,95.09186368697723,1BESTW
highambitions,https://www.nitrotype.com/racer/highambitions,navye_,I Have Fans!,371,0,66.07280772325021,7000,854082.5573782513,91.71308782375587,RFTP
zefflint,https://www.nitrotype.com/racer/zefflint,zefflint 20k,California Dreamin',208,220,70.67163511363056,6691,849868.0790522578,93.85290868022066,NCT
rebelles,https://www.nitrotype.com/racer/rebelles,goofykid 20k,Drift King,77,0,98.08495464035622,5999,848164.397306914,94.86174644712067,LXW
emacisgoofy,https://www.nitrotype.com/racer/emacisgoofy,Emacisgoofy,Millionaire,51,0,129.7997365956896,5043,831589.4505462919,99.99992961919763,DIV1
gsupr3m3_kingg,https://www.nitrotype.com/racer/gsupr3m3_kingg,PR4NK573R,Raw Racing Recruit,264,0,174.38791244865186,4437,830579.5837673341,100.0,LTC
