Team,TotalPoints,Racers,Races
P1RE,9501772.536502572,47,68478
PR2W,5963030.711536175,48,42512
N8TE,5780816.98056994,41,42615
NTPD1,5453530.176444334,50,39292
SPRME,5327862.353736428,39,36701
SSH,5266392.633331169,43,37784
CAM0,4460053.9999240255,47,32599
PSR,4066865.8841508976,47,29520
CZBZ,3646082.661764942,47,26230
BEEHVE,3624291.2289603944,45,26982
NCT,3571806.2873514756,48,26044
TCHR,3518427.0218189047,43,25725
FASZ,3057005.8095463994,29,22006
S0RC,2980211.3416673606,49,20796
LXW,2787257.04647114,15,19887
RFTP,2275533.571987594,47,18848
4CU,2225067.904396836,20,12955
LOVGOD,2156433.719356467,43,14867
ZTAGZ,2146597.983114928,29,14628
190IQ,2090764.2736005604,22,15156
ERC,1898136.8932866035,10,13316
PCMSG,1602015.2121665778,10,9089
DLX,1598749.276419766,41,12855
MEYBO,1571201.318395266,21,11147
NTO,1523167.3588554559,49,12083
NHS,1463829.0831058759,40,11435
RZ,1441669.9672068525,35,11122
50I,1233185.9419275904,38,8661
WPMWPM,1216394.7110106065,43,9581
DIV1,1175862.5328736366,30,8199
F0J,1159297.1175928651,36,8377
BRAVE,1143377.5972458087,32,8683
LLJ4R,1138129.4641494239,43,9299
T0WER,1137762.4219696815,29,7495
NTP444,1114085.2716899747,42,9085
B0MBA,1098090.4153126795,37,7082
RI5E,1026864.6658686711,45,8033
AMPX,1001109.2729144836,28,7381
ZH,954725.1054382061,36,6774
ZSH,926744.4201509279,35,7683
RVNT,912047.5070923632,44,7667
FAM3,898187.5532669681,38,7035
0PT,846808.0319580523,43,7149
TWO,799047.7405884309,26,5718
OVCR,761583.2118282394,35,6383
NS7,716993.6579702981,44,5456
AL3,699783.1846305099,36,5348
SK4P,678280.1014776747,40,5317
SSNAKS,675050.8908741978,46,5563
SZM,658370.5818769939,39,5705
TRUST,649684.059800993,24,5147
HELIUM,636247.0570670359,49,5456
LE4GUE,632673.9678366146,38,4815
XWX,627078.2157496568,34,5108
TNGN,597340.7030791909,40,4402
NGREEN,591468.4747966762,36,4722
D4RKER,587071.9519926963,27,4167
ESTER,528120.531003262,37,3857
WTRMN,508726.6564357341,32,3929
ST0RM,489469.59226896893,14,3586
NTW,444482.54699299554,45,3293
MED13L,430439.25750083657,24,2893
ZER0SE,423790.20257338055,38,3112
LSH,420062.7513919402,23,3373
ASPN,415527.4155224796,34,3386
SAIL,399011.86077996506,20,3040
T3X5,396275.64920226263,12,2834
UNREST,390887.8376147301,12,2823
DCPTCN,390785.82833294524,24,3175
FUZHOU,383143.19981997466,38,2879
LTC,381071.5296594181,18,2578
W2V,376201.67252725747,16,2758
FERARI,354348.10411932325,30,3005
SNTL,353482.63102831953,21,2546
AL0N3D,334966.01914021425,34,2566
RL1,332456.5349900458,25,2435
PIGFLY,305207.95666447404,26,2340
KBSM,296198.1595520415,27,2202
HZE,295371.18027115584,20,2181
RIV4L,291278.78838403017,15,2155
DUAL,282257.2423673591,16,2020
2VCTRY,275288.8172595589,11,2250
HONT,274517.355889804,16,1895
4EP,273436.17675043707,28,2400
VLN,270507.7541487975,32,2379
CATPLT,246591.887697983,32,1944
NTT,224108.11005676613,24,1744
PR2WX,203292.78474318894,22,1889
KAPOK,202851.28551554857,24,1659
SER,192168.23891931225,17,1398
DOGGIS,190364.83863629107,27,1483
FLAGZ,187718.197887028,25,1570
LOFH,184953.194955742,8,1320
GSGMWO,174238.48934561678,32,1444
BAYLOR,169086.74681720402,24,1482
VXL,160991.0961141264,11,1228
TOTUF7,156810.60344043202,18,1305
NTRS34,151335.5393343691,28,1265
VTI,148312.92805859112,22,1170
NI1TRO,147869.5791757158,20,1045
KR0W,144343.6956443503,10,1020
RL,143221.47822137034,21,1145
EXOTIC,124090.72741985957,9,987
TALK,108006.83591612337,12,786
NTM,93054.63710154487,16,631
SG1MAS,88431.48726890657,23,666
BMW,85469.30273913447,6,637
FRLB,77088.1020898815,2,521
TGNM,52146.44595680285,11,409
GLZ,50228.039337765695,10,371
NT20,38579.586338456036,1,358
SPRINT,25864.685427290104,6,192
EMZ,17621.544739849665,3,130
NT,15768.4251442547,7,111
XS9,13746.992055695118,1,118
CYCV,12702.268257227515,2,88
2S,1401.8648473034436,1,10
VFU,407.9303861788618,0,3
PTB,0.0,0,0
