Username,ProfileLink,DisplayName,Title,CarID,CarHueAngle,Speed,Races,Points,Accuracy,Team
internetgoneviral,https://www.nitrotype.com/racer/internetgoneviral,InternetTyper YT,Nitro Rich,282,0,108.0654603405148,23484,3488935.0527441483,96.45123661079545,P1RE
lenatheplugz,https://www.nitrotype.com/racer/lenatheplugz,Depers 245k,404 Not Found,162,200,104.1484219884948,21413,3106908.2140631904,95.41031603386068,SPRME
nincalebgamez,https://www.nitrotype.com/racer/nincalebgamez,⚡Nincaleb⚡,PAC Contender,78,0,89.06973371236293,21829,3078310.734059614,97.56768243236642,P1RE
ilikedufibxx,https://www.nitrotype.com/racer/ilikedufibxx,dufibb,Big Spender,77,200,102.98489344339531,20688,3009751.338710542,96.03313992800749,TVX
nxtfiregaming,https://www.nitrotype.com/racer/nxtfiregaming,Daisyyy QT,Encore,367,0,89.26405968450668,19133,2678611.5364739527,96.79706341701817,SPRME
darkiexgold,https://www.nitrotype.com/racer/darkiexgold,-2025-,League Champion,371,0,100.13512842946501,17838,2536190.0073161637,94.74336249949141,SAIL
fritter17,https://www.nitrotype.com/racer/fritter17,Swifty_YT,Spring-a-round,107,280,102.320401831339,16439,2317229.776472017,93.25158979852294,TVX
weslanea,https://www.nitrotype.com/racer/weslanea,truly broken 90k,Keyboard Smasher,105,260,95.09816993559399,16303,2295117.139101452,95.41151832846239,SPRME
barfbr01,https://www.nitrotype.com/racer/barfbr01,Lucky Doves,Pilot,58,0,87.10869824979878,16623,2228877.825583137,93.40293091260558,NCT
apicomplexa,https://www.nitrotype.com/racer/apicomplexa,Can I Have Gold Plz,Unda da Sea,331,120,155.41635025277813,12798,2191979.7918179454,96.38002464507011,WP
givemegoldasap,https://www.nitrotype.com/racer/givemegoldasap,El1te Stxr,North Pole Navigator,77,240,119.28184974393956,14615,2190640.5257979166,93.89188599546047,NCT
jesustake_the_wheel,https://www.nitrotype.com/racer/jesustake_the_wheel,DylanJ 396k,Operation: Typing,166,20,96.02235872779427,15580,2183197.7458073227,94.67408179703047,P1RE
billy33,https://www.nitrotype.com/racer/billy33,,On Thin Ice,177,120,57.370140955895955,16561,2104457.1793127162,98.74733220898729,N8TE
drey2000,https://www.nitrotype.com/racer/drey2000,KeyStorm,Mega Winner,172,0,100.27793242726923,14510,2083623.7123829012,95.64416006290345,SPRME
smalltownfame,https://www.nitrotype.com/racer/smalltownfame,summrs,"Peace, Love, Nitros",68,140,101.5978003868012,14087,2046050.622047396,96.316276717713,TVX
aksi13,https://www.nitrotype.com/racer/aksi13,Lavalogy,League Champion,371,200,54.375250942387964,16585,2044165.0502945648,96.90710586875359,LLJ4R
bobthebuilder120822,https://www.nitrotype.com/racer/bobthebuilder120822,BOBTHEBUILDER120822,Keyboard Cat,68,0,83.42459099391719,15249,2012206.8298706457,93.115873450338,TVX
monster_77,https://www.nitrotype.com/racer/monster_77,3NightsAtTheMotel,"Peace, Love, Nitros",77,0,98.75892519238046,14342,1997479.5030811161,93.23558941422625,TVX
77uu,https://www.nitrotype.com/racer/77uu,SlimJimPingu,Lord of the Practice,155,0,116.81403538165576,12882,1871063.0238986164,91.69184336456986,SSH
adventx11,https://www.nitrotype.com/racer/adventx11,GIVENTGOLDIGIVE20MIL,Nitro Rich,241,320,122.83243074461132,11595,1846941.8938595494,98.68140381225773,ZTAGZ
070716f8e5153f91fa44db65db76c844,https://www.nitrotype.com/racer/070716f8e5153f91fa44db65db76c844,Abadger,Nitro Rich,338,0,169.07997113123645,9788,1740226.125782645,96.34323865692383,N8TE
redragon999,https://www.nitrotype.com/racer/redragon999,goldplz,Wave Breaker,110,340,140.98858202627412,9979,1665774.4710522366,97.90826127060424,CAM0
d22665ef573af1a89eba6d2776707848,https://www.nitrotype.com/racer/d22665ef573af1a89eba6d2776707848,Not Megans BDay,Keyboard Cat,33,320,53.9026496587475,13670,1628957.5337115787,93.86507048091563,NTPD1
plsgivemego1d,https://www.nitrotype.com/racer/plsgivemego1d,plsgivemego1d,Keyboard Cat,51,0,81.65272595862714,11399,1550959.6669301428,96.61616325936927,WP
fzelmore4,https://www.nitrotype.com/racer/fzelmore4,8huh --,Not a Bot,338,160,72.719909981641,11672,1544899.700622869,97.06622971753585,P1RE
a4ebe577d455c102ed6ef8620230c4d9,https://www.nitrotype.com/racer/a4ebe577d455c102ed6ef8620230c4d9,Silis carpal tunnel,League Champion,111,0,115.68141894772747,9701,1518521.4306863376,99.17116075825079,N8TE
deperst2,https://www.nitrotype.com/racer/deperst2,Jonathan Playz,Raw Racing Recruit,89,260,107.95023847859768,9906,1477484.559252517,96.86660486666565,SPRME
lacanenjoyer,https://www.nitrotype.com/racer/lacanenjoyer,-Pearl_Games-,Solid Gold,257,280,100.65354965623357,10125,1467405.0289044746,96.40923375716874,PSR
quwenley,https://www.nitrotype.com/racer/quwenley,YT quwenley,2icy4u,53,0,78.7476008495717,10443,1422281.7065693822,97.71904267799822,N8TE
m3tro_alt,https://www.nitrotype.com/racer/m3tro_alt,GiftGoldpls,Keyboard Cat,86,0,102.41129061202678,9483,1369235.982298794,95.49146296615606,WP
