Team,TotalPoints,Racers,Races
P1RE,11966945.101333603,41,86548
SPRME,9136864.613063613,45,62816
PR2W,8013441.744132768,49,57098
NTPD1,7383587.533016371,47,53485
N8TE,7261836.757702254,40,53534
SSH,6826335.59852979,41,48926
CAM0,6086542.917129158,48,43790
PSR,6078731.806362149,47,44021
CZBZ,5569699.823569645,46,39302
NCT,5265502.670938606,47,38429
LXW,5249479.366434048,35,37149
BEEHVE,4845771.85960574,49,36280
TVX,4348617.68794179,46,31510
TCHR,4197590.062086913,37,30948
S0RC,4124848.2751785624,46,28674
FASZ,3773702.8456293517,29,27100
RFTP,3263569.7519261357,45,26875
4CU,3237762.347374818,39,19094
ZTAGZ,3070508.543701354,29,20683
LOVGOD,2799276.6497066426,45,19542
ERC,2624926.285105421,13,18350
PCMSG,2529257.991502603,11,14364
190IQ,2477975.4135687486,13,17850
NTO,2084223.9838761745,44,16578
MEYBO,1913883.2748495876,27,13806
DLX,1840016.3818121292,44,14857
RZ,1837290.1394779321,46,14296
NHS,1824057.4519395833,46,14266
WPMWPM,1788839.645891139,48,14181
LLJ4R,1690415.290743395,36,13837
DIV1,1628029.5680693786,34,11311
F0J,1585655.365524613,38,11408
T0WER,1532298.2154727934,36,10176
50I,1512549.9864618967,40,10642
NTP444,1490697.0898661173,45,12227
TWO,1401534.4641101423,29,9884
AMPX,1351359.3914703615,39,10027
BRAVE,1335065.8020723353,34,10278
RI5E,1302200.2095651021,43,10197
ZSH,1225691.0932204581,32,10191
FAM3,1215520.9029314793,41,9523
ZH,1198379.8716533252,33,8522
B0MBA,1186724.7743271657,42,7812
RVNT,1176258.5603537404,40,9914
OVCR,1122183.6144567253,48,9612
A3,1082583.5155902472,27,7811
NS7,1023773.8010641434,37,7647
AL3,1009434.9632067777,29,7734
SSNAKS,881350.0492309,47,7340
TRUST,853489.5236387841,23,6723
SZM,836175.7285473513,40,7224
HELIUM,829120.0607949207,45,7136
LE4GUE,812650.2116259126,42,6317
SK4P,807110.5557270459,38,6388
TNGN,790475.1448312221,44,5834
XWX,781643.5817559698,34,6364
NGREEN,765082.2999378493,40,6176
D4RKER,753666.7554441779,27,5322
ESTER,712089.4676878098,37,5262
SAIL,705280.7181236241,23,5474
LTC,671365.4276860154,23,4272
NTW,652260.6807075768,47,4747
WTRMN,638175.3647126738,30,4832
ZER0SE,634392.2252203979,42,4621
ST0RM,633574.9051443012,15,4677
ALFJ,625941.6723310328,42,4996
ASPN,603918.2255323485,36,4916
T3X5,600848.7354372801,14,4319
DCPTCN,579160.9494851113,29,4711
SNTL,560206.6574151538,24,3958
PIGFLY,555549.8141056197,29,4046
LSH,540565.325148818,25,4361
KEYNT,528375.806111377,5,3072
MED13L,523737.55803670484,30,3581
AL0N3D,490320.0618350832,40,3648
FUZHOU,466904.789816681,41,3499
KBSM,450490.36702056363,31,3339
W2V,448435.51542310603,16,3309
RL1,448283.2212054106,31,3284
FERARI,447048.4857357566,36,3787
UNREST,429044.5108799578,13,3121
2VCTRY,424888.3153937644,14,3454
HONT,398993.11722636205,17,2753
DUAL,366711.99856847443,20,2644
FOX109,365132.83652857447,25,2616
HZE,352468.52500115294,20,2594
CATPLT,343921.3060653031,31,2755
VLN,340517.78816296096,30,2923
RIV4L,326499.84168419737,12,2434
BAYLOR,312588.6148222626,27,2738
KAPOK,307342.4794511321,27,2525
NTT,303381.9586820134,23,2316
4EP,287551.2749238907,29,2521
DOGGIS,287094.72475207684,32,2308
PR2WX,284434.025696718,23,2637
RL,258039.70373869428,27,2001
1BESTW,252058.5081712135,21,1851
FLAGZ,249850.2370625788,25,2093
VXL,248843.0678540039,12,1875
LOFH,232743.17866972124,8,1668
NI1TRO,226990.06984614648,24,1612
GSGMWO,220476.27915088818,24,1838
SER,214981.98886695402,16,1583
NTRS34,211408.25648126545,30,1806
TOTUF7,197872.69859907508,21,1650
B4HL,193794.23255096524,10,1375
VTI,182818.0722648581,24,1452
GOATOG,173662.72103859956,18,1449
KR0W,171021.8930087974,11,1213
BR34K,155949.67655802154,3,1177
EXOTIC,152506.8708321842,7,1219
TALK,138704.57278359061,13,1010
NTM,133686.2008471723,19,891
SG1MAS,130718.06522855216,23,971
792231,112483.7848560916,2,773
BMW,109888.02875562111,8,821
LEDIHH,106671.8391130432,7,821
BEES,101261.36023126624,3,660
FRLB,79062.60003920925,2,534
TGNM,68033.98958621453,10,546
GLZ,53322.45903917739,12,399
NT20,49909.88441623606,2,464
YE1LOW,45322.590946496915,4,344
SPRINT,45223.21254330999,8,333
CYCV,36270.97222303145,2,252
EMZ,17621.544739849665,3,130
NT,16939.4806977715,7,119
XS9,15013.062835703184,1,129
2S,1655.5235913879983,1,12
IQ200,1190.638803871288,1,10
VFU,523.7600311243679,1,4
PTB,0.0,0,0
