Username,ProfileLink,DisplayName,Title,CarID,CarHueAngle,Speed,Races,Points,Accuracy,Team
dnivs13,https://www.nitrotype.com/racer/dnivs13,DNivs13,Insert Title Here,257,220,55.88360123069845,4263,516680.49139232165,94.73146917051204,SSH
glombara,https://www.nitrotype.com/racer/glombara,kardinal,Yo,155,80,85.72953523238381,3814,508366.3369665464,93.29770415658184,PSR
nateb3a,https://www.nitrotype.com/racer/nateb3a,pinkflxwers,Legendary Lapper,77,320,99.01453192098482,3419,483849.7286299002,94.65620780057097,TWO
emacisgoofy,https://www.nitrotype.com/racer/emacisgoofy,Emacisgoofy,Millionaire,51,0,129.74372859759498,2891,476644.5596878236,100.0,DIV1
23054f8f47ce8d83f34a4d43fb2608f2,https://www.nitrotype.com/racer/23054f8f47ce8d83f34a4d43fb2608f2,Exclusive Dreamz,Boo!,239,320,172.31598270122277,2514,465874.2992862759,99.54553727352697,NTW
big_mike,https://www.nitrotype.com/racer/big_mike,๖ۣۜǤнσsτ༻_,Unstoppable,83,220,83.81518269681482,3500,459542.9261379459,92.52357653946574,NCT
allex_crucifix,https://www.nitrotype.com/racer/allex_crucifix,-_-0Alex0-_-,League Champion,371,120,111.76053775021354,3039,453501.15839588083,95.7318726539987,SSH
donp1,https://www.nitrotype.com/racer/donp1,L2trappy1,Tilted Typist,331,0,98.44790754683943,3105,443573.20635838294,95.73376914422312,N8TE
aquaberserker,https://www.nitrotype.com/racer/aquaberserker,Ouranos,Heart & Solstice,77,280,125.85895669159653,2821,436139.30077817733,94.89044204596625,S0RC
mrfancypants12,https://www.nitrotype.com/racer/mrfancypants12,2 FAST 4 U 14K,Keyboard Cat,48,100,85.77643419572553,3343,432552.19516041735,90.55360122745647,190IQ
maiisoh,https://www.nitrotype.com/racer/maiisoh,Lyrica,I Hate Words,316,260,90.32082659158374,3000,430810.7966335702,98.92752136578528,NTPD1
mycowz,https://www.nitrotype.com/racer/mycowz,12_ 1  2 _122 1 2 22,Shattered,185,0,89.79310877427825,3001,424520.143162698,97.62796762063995,CAM0
futureneuromillion,https://www.nitrotype.com/racer/futureneuromillion,Future Neuromillion,League Champion,331,0,92.80438480438481,3101,424462.20903262636,93.49527929160863,SPRME
mrimtoslow,https://www.nitrotype.com/racer/mrimtoslow,20K Races Soon,Sweaty Typer,373,0,77.95717359861715,3318,419468.631010859,90.96518680889037,BEEHVE
me_legend_123,https://www.nitrotype.com/racer/me_legend_123,M O O S E,Keyboard Cat,379,180,53.24146195326543,3651,410781.96562242525,88.85762872933704,RFTP
codygraves2027,https://www.nitrotype.com/racer/codygraves2027,codygraves2027,Nitro Rich,245,320,173.96988093727916,2159,403700.48647179286,100.0,CAM0
memory_the_fallen,https://www.nitrotype.com/racer/memory_the_fallen,Overture-Road To 10k,Overdrive,330,0,152.10841886449265,2310,398317.7682764267,97.94252285978945,TCHR
worksmarternotharder,https://www.nitrotype.com/racer/worksmarternotharder,Serendipity,Spring Vibin',106,0,92.70809814372883,2721,385958.42126025876,96.91862347054852,NTPD1
rebelles,https://www.nitrotype.com/racer/rebelles,goofykid 20k,Drift King,77,0,81.65793818098697,2933,382841.7825604368,92.68624044280801,LXW
davidstar,https://www.nitrotype.com/racer/davidstar,David Star,League Champion,371,80,73.65691718383466,2691,365316.1974578666,99.21533341073571,NTPD1
night_mare456777,https://www.nitrotype.com/racer/night_mare456777,Prime Nightmare_,Master Motorist,51,0,169.08227012758468,1959,361494.53405149636,99.99403912040125,4CU
imamismail,https://www.nitrotype.com/racer/imamismail,Commander,Nitro Dog,239,220,166.27779010428222,2022,359457.7595676774,97.07024421748193,190IQ
charmtooth,https://www.nitrotype.com/racer/charmtooth,rtx 5070 ti,Holiday Hacker,37,260,81.59531991490755,2734,356118.2411514353,92.5124691905204,LXW
ha_saahn,https://www.nitrotype.com/racer/ha_saahn,Angel does it again,League Champion,185,340,134.69536235994894,2165,356064.2018526788,98.27673345357715,T0WER
ily2thestars,https://www.nitrotype.com/racer/ily2thestars,ThornedRose999,Rival Team,373,280,102.93714866452822,2475,354580.31922495476,94.58382775172761,BEEHVE
nicasio567,https://www.nitrotype.com/racer/nicasio567,Typing Tyler,Sea Student,316,200,126.45431290289574,2213,348489.59388405085,96.4752661756638,PR2W
swaggyguy229,https://www.nitrotype.com/racer/swaggyguy229,swaggy guy,Encore,163,0,130.868830414211,2236,343315.0715210905,92.81009336176963,LXW
e7b09051c0bfdfd073b88deb146aa17f,https://www.nitrotype.com/racer/e7b09051c0bfdfd073b88deb146aa17f,Corsa Ultimate,Keyboard Cat,371,220,58.09918501820704,2694,343221.7433452616,98.72350458726548,SK4P
brubakerj1,https://www.nitrotype.com/racer/brubakerj1,TonyTonyChopper,Learner Leader,374,0,109.95847149569998,2230,337661.1354713557,97.70183006004733,SSH
