Team,TotalPoints,Racers,Races
P1RE,8935101.348758182,43,64164
PR2W,5444854.355021331,48,38858
N8TE,5266471.982361469,42,38704
SSH,4868653.5506460415,45,34924
NTPD1,4831683.196123278,50,34760
SPRME,4792159.16887738,42,33064
CAM0,4096356.5190373035,49,30008
PSR,3735288.306784036,48,27152
BEEHVE,3374489.1744472105,47,25170
TCHR,3319296.9456697335,41,24149
CZBZ,3284496.901662158,48,23526
NCT,3258439.9501270982,45,23713
FASZ,2962427.6706429617,29,21347
S0RC,2812496.2925308477,48,19587
LXW,2469054.5701546543,14,17765
RFTP,2124826.037605641,49,17610
4CU,2087968.173685296,20,12136
190IQ,1972844.2626873006,21,14307
LOVGOD,1964213.1172263063,42,13576
ZTAGZ,1959726.8365379244,29,13380
ERC,1789633.963409716,10,12532
DLX,1522273.202062035,43,12249
PCMSG,1494522.281897676,9,8470
NTO,1380421.2540217338,49,10941
MEYBO,1363573.9089898113,19,9660
RZ,1338931.5026014787,30,10343
NHS,1269967.1439296145,39,9928
50I,1124310.1451696018,38,7897
BRAVE,1109658.5959606806,32,8386
WPMWPM,1086924.4600173554,44,8517
T0WER,1085477.9168330883,27,7139
B0MBA,1080973.2129082144,36,6952
DIV1,1050012.5653936465,30,7307
LLJ4R,1037430.1687318693,43,8478
NTP444,1008227.6517208478,40,8228
F0J,1006991.4680323469,35,7271
RI5E,951981.9791650085,44,7437
AMPX,944523.4607735582,34,6926
ZH,861618.1696758289,32,6115
FAM3,829982.0776616406,36,6522
ZSH,827723.6806292821,35,6862
RVNT,812391.9054255778,45,6823
0PT,789472.6051147764,44,6647
TWO,749790.4279865508,25,5357
OVCR,699713.0971314901,34,5844
SK4P,649079.3925081253,38,5104
SSNAKS,619154.8311852684,41,5080
AL3,618384.6148270338,34,4711
SZM,611294.0953823269,37,5290
LE4GUE,586275.5162309707,36,4453
TRUST,577929.4556051808,22,4597
HELIUM,571826.4498954288,48,4907
XWX,568530.4913580159,34,4630
NS7,567534.5168369217,39,4409
TNGN,553758.6304855247,40,4090
NGREEN,546204.6209552062,36,4365
ESTER,501974.96054372296,36,3660
D4RKER,500358.985216539,27,3580
WTRMN,485448.69267373835,33,3748
ST0RM,434598.1724230758,14,3208
MED13L,403686.9902963447,24,2701
NTW,385720.70049760287,45,2912
ASPN,384084.50703896413,33,3130
LSH,383865.71035196085,23,3075
ZER0SE,380558.8904176767,32,2805
SAIL,356908.772252365,20,2739
W2V,355553.20302473765,16,2601
FUZHOU,354118.4604458503,39,2661
UNREST,352197.60159916827,11,2519
DCPTCN,351261.51668502344,24,2856
LTC,336984.9267618526,17,2267
FERARI,336323.2519329294,30,2852
AL0N3D,320373.1141576875,29,2450
RL1,308862.169604943,25,2261
T3X5,305567.7458001299,13,2194
SNTL,302027.5940472368,20,2179
PIGFLY,289212.5356351954,26,2203
HZE,280763.21283678955,20,2072
RIV4L,276065.89737768046,14,2034
4EP,271083.42629021645,29,2377
DUAL,256781.17873403427,15,1836
KBSM,256517.96797503403,27,1904
VLN,253986.3902371863,31,2231
2VCTRY,243958.47404906774,10,1988
HONT,241765.9848924182,16,1655
CATPLT,230072.4961558039,31,1809
NTT,204277.349926996,24,1608
KAPOK,187426.09718312547,22,1531
LOFH,183282.76363581212,8,1307
SER,179255.77264048552,19,1296
DOGGIS,178758.65973972395,25,1381
PR2WX,171660.06368840858,17,1597
FLAGZ,159213.25223836073,25,1319
GSGMWO,154051.14169223412,27,1275
TOTUF7,151937.00650188568,18,1263
NTRS34,145465.03180171901,27,1212
VXL,140735.0342251132,12,1083
KR0W,140180.23902192054,10,987
RL,130485.03855858387,20,1041
VTI,127137.68087597798,22,1005
EXOTIC,115237.2722302521,9,919
NI1TRO,113753.54963340952,17,803
BAYLOR,111454.78921392601,23,982
TALK,106629.6988403732,12,776
NTM,87017.68266837773,16,591
BMW,81642.4065458065,6,606
SG1MAS,76115.5839385778,23,575
FRLB,74756.47028726706,2,505
GLZ,48458.04769578804,9,357
TGNM,47981.65826359276,10,375
NT20,28940.250360385064,1,269
SPRINT,19546.811490357803,5,146
NT,15768.4251442547,7,111
EMZ,15040.123147756465,2,108
XS9,11063.117391507261,1,95
CYCV,6472.668999939297,1,45
2S,867.8349937733501,1,6
VFU,407.9303861788618,0,3
PTB,0.0,0,0
