Team,TotalPoints,Racers,Races
P1RE,9781165.88262534,46,70535
PR2W,6182277.190124774,49,44109
N8TE,6137065.29136208,41,45361
NTPD1,5746497.8810843155,49,41447
SPRME,5606643.378728427,41,38702
SSH,5480739.453132219,46,39361
CAM0,4588656.786637364,48,33563
PSR,4331699.5548949465,49,31437
CZBZ,3824921.7543476545,47,27617
NCT,3788535.6827141414,47,27671
BEEHVE,3777205.513271369,46,28130
TCHR,3652931.4413092313,49,26795
FASZ,3153361.8561534192,28,22682
S0RC,3124491.9173000106,49,21835
LXW,2932442.49336847,18,20849
RFTP,2426164.295559723,48,20078
LOVGOD,2354877.6336439666,46,16264
4CU,2275997.184910957,25,13277
ZTAGZ,2242028.009503159,26,15246
190IQ,2158735.098025866,15,15586
ERC,1943593.6174757348,10,13643
PCMSG,1740134.5462358813,11,9863
MEYBO,1707091.2738082076,26,12157
DLX,1662378.9847641094,38,13384
NTO,1609985.2039337198,49,12770
RZ,1521077.2318998151,35,11763
NHS,1520524.8199674801,41,11890
50I,1311402.4864866203,38,9196
F0J,1302745.2047773162,38,9360
WPMWPM,1281695.8844337068,46,10116
DIV1,1264456.2448712243,31,8852
LLJ4R,1229524.5343755567,41,10046
NTP444,1190514.0950042042,45,9720
T0WER,1180252.925676049,30,7789
BRAVE,1167679.2157978828,33,8897
B0MBA,1122777.1306280713,41,7274
RI5E,1101889.6258606815,45,8628
AMPX,1079303.2129592753,32,7974
ZSH,1024439.7235875243,32,8498
ZH,1009044.656425835,36,7160
RVNT,995291.4896052184,44,8371
FAM3,951558.2678527477,40,7458
0PT,906721.3793057017,46,7630
OVCR,844521.7609507189,42,7142
TWO,820800.4040449723,26,5888
AL3,796552.4311452794,33,6109
NS7,780193.1352792782,44,5947
SSNAKS,736019.9827129762,43,6087
SK4P,712509.4811743948,39,5609
SZM,701676.060667781,39,6072
TRUST,687667.3537924372,24,5442
LE4GUE,685244.4563981124,40,5233
XWX,681201.7636518966,34,5553
HELIUM,675836.3408416095,48,5802
TNGN,641884.9901438596,41,4739
D4RKER,634389.8317733327,28,4490
NGREEN,624366.024591359,38,4983
ESTER,560397.0801762771,38,4109
WTRMN,540647.9573132894,32,4181
ST0RM,506113.9120944006,14,3714
NTW,495658.4046546129,46,3635
ZER0SE,474086.9021498724,40,3468
MED13L,455429.4401755348,25,3081
DCPTCN,449839.768238544,25,3660
LSH,446244.2969280841,24,3591
ASPN,439894.0326906859,35,3585
SAIL,435385.51562619314,23,3301
T3X5,423764.86765526485,12,3037
FUZHOU,416751.67446535965,40,3125
LTC,412884.2838909631,20,2789
UNREST,404895.4452968169,12,2936
W2V,399470.41450674616,16,2936
FERARI,377752.62121984217,34,3210
SNTL,377049.3544643471,22,2715
AL0N3D,373504.4575308017,31,2849
RL1,350011.7308794251,26,2562
PIGFLY,325462.38628300343,27,2525
KBSM,313612.7198773517,27,2328
HONT,304259.68423630693,16,2105
RIV4L,302313.52044115734,15,2240
HZE,299563.52917618817,20,2212
2VCTRY,290394.0405080261,12,2370
DUAL,289929.1221522069,17,2076
VLN,279060.0394122392,32,2449
CATPLT,275948.1945340826,32,2193
4EP,273547.49757936696,28,2401
BAYLOR,259042.32364258022,26,2265
NTT,254328.55194141943,24,1956
KAPOK,212798.57327925749,26,1736
PR2WX,212188.59619679555,23,1971
FLAGZ,210349.17276402988,25,1752
DOGGIS,204505.66153246208,27,1604
SER,201212.37711644222,18,1471
LOFH,200742.4721189098,8,1435
GSGMWO,193135.74602557707,31,1602
VXL,180049.57803439177,10,1364
TOTUF7,177054.9900940813,20,1476
NI1TRO,167477.1207857684,21,1189
NTRS34,161938.90608298755,30,1352
VTI,161218.63821070478,23,1276
RL,157847.70383833512,22,1261
KR0W,144589.5163635979,11,1022
EXOTIC,129546.7096944957,9,1030
TALK,117541.10789812062,12,858
SG1MAS,107827.28651822855,23,805
NTM,98872.21216278353,17,668
BMW,86926.3332628224,6,649
FRLB,77088.1020898815,2,521
TGNM,57183.835164558965,11,450
GLZ,50228.039337765695,10,371
NT20,42053.25016986302,1,390
SPRINT,34867.81758410035,8,258
EMZ,17621.544739849665,3,130
NT,15768.4251442547,7,111
CYCV,15761.874314160477,2,109
XS9,13746.992055695118,1,118
2S,1401.8648473034436,1,10
VFU,407.9303861788618,0,3
PTB,0.0,0,0
