Team,TotalPoints,Racers,Races
P1RE,12682913.815146234,39,91736
SPRME,10874909.30020007,37,75193
PR2W,8559222.323730914,48,61076
NTPD1,8120867.579996407,48,58842
N8TE,7951774.48155333,39,58376
SSH,7290374.787508534,37,52164
PSR,7226241.153489321,48,52485
CAM0,6769187.331265308,50,48398
CZBZ,6294312.302987664,47,44360
NCT,5820484.104883315,48,42588
LXW,5689413.275191582,49,40278
TVX,5594397.918059267,48,40813
BEEHVE,5237891.785530218,48,39235
S0RC,4483084.839823992,44,31137
TCHR,4431163.072891721,36,32756
FASZ,3910454.275364456,28,28005
RFTP,3456592.798646533,49,28466
4CU,3416249.3824885734,47,20239
ZTAGZ,3156875.857690091,33,21345
LOVGOD,2990429.616811788,46,21049
ERC,2904787.2104295017,14,20267
190IQ,2581182.009834095,11,18578
NTO,2318337.3185700197,45,18486
WPMWPM,2081178.6989300603,44,16516
RZ,2034603.6602009581,38,15852
NHS,2034500.6991297735,47,15965
MEYBO,2032008.0968731,28,14686
DLX,2016837.7873359248,44,16388
LLJ4R,1886504.7311397535,43,15430
DIV1,1876605.5392144523,36,13025
F0J,1795819.6305495575,40,12875
NTP444,1733652.8232318794,46,14152
50I,1730147.4792976417,42,12202
T0WER,1621108.505320907,37,10763
AMPX,1581572.299482804,42,11759
TWO,1526845.6538804127,28,10764
RI5E,1453670.8659242596,43,11373
BRAVE,1407151.0750014742,34,10841
ZSH,1396517.3289642807,36,11589
RVNT,1319062.649640405,34,11121
FAM3,1304526.5401866334,43,10236
ZH,1279786.6525642874,33,9117
OVCR,1243025.77333713,50,10656
B0MBA,1228730.974019415,44,8179
A3,1157308.9247537423,25,8374
NS7,1099460.459660657,39,8268
AL3,1083324.626349713,29,8308
HELIUM,999677.2632850421,45,8488
SSNAKS,986539.7707488822,47,8248
TRUST,942711.665563479,23,7410
SZM,922046.4169748459,44,7969
LE4GUE,905461.4437934316,43,7062
XWX,852200.343044497,35,6945
TNGN,848435.5172760824,44,6274
SK4P,835264.494957751,41,6619
NGREEN,833914.3418356179,38,6793
SAIL,830775.4195307216,29,6487
D4RKER,830615.2488258803,27,5862
ESTER,816557.0861128866,35,6050
LTC,772425.3179114234,24,4903
KEYNT,742022.2794177304,5,4580
NTW,741867.3662152005,49,5505
ZER0SE,729956.7584277757,42,5330
ALFJ,727213.3687949403,41,5807
ST0RM,701297.9138015911,16,5166
WTRMN,697776.8628491763,30,5271
ASPN,679723.7586686198,39,5535
DCPTCN,676541.4565192208,29,5505
SNTL,655274.0055994976,23,4630
T3X5,647300.0811985981,15,4654
LSH,618151.6925969819,26,4994
PIGFLY,592483.5728274573,33,4344
MED13L,585641.4855743446,29,4010
KBSM,551709.9993442761,33,4065
AL0N3D,547369.0752730494,36,4104
RL1,537110.7415554072,30,3939
FUZHOU,526678.6972792343,34,3933
FERARI,500700.79955011036,38,4259
FOX109,469351.6273619102,28,3370
W2V,454184.29902646353,17,3351
UNREST,445929.90707947605,13,3253
DUAL,427636.73810641875,22,3083
4EP,417709.762952993,31,3669
HONT,416530.4891017871,18,2873
HZE,411679.0998575509,22,3019
CATPLT,390763.1125658278,32,3150
BAYLOR,383165.29507730756,27,3349
KAPOK,370045.0594331057,27,3044
VXL,369002.69867650163,11,2725
VLN,352226.5255845215,31,3023
DOGGIS,346212.0796033286,35,2809
RIV4L,345547.2911087184,14,2580
NTT,326639.7464901984,22,2481
PR2WX,319655.9230925368,26,2956
RL,316210.44265755004,28,2415
1BESTW,308369.48222827056,20,2296
FLAGZ,288757.20616587024,27,2427
B4HL,261282.69035887092,11,1833
NI1TRO,250809.0766362997,25,1784
GSGMWO,239897.26789940317,23,2007
NTRS34,239711.99164457672,27,2073
LOFH,233657.56974537022,8,1674
TOTUF7,227077.37381318925,21,1910
SER,221314.5807487957,14,1632
VTI,201366.73618818278,24,1599
GOATOG,196047.60673864148,18,1632
KR0W,188272.6174487724,10,1348
BR34K,170045.77476367078,3,1270
EXOTIC,160479.65089941592,7,1285
TALK,155681.8915750468,13,1133
BEES,155532.69965754062,3,1009
NTM,142085.15463292066,19,944
SG1MAS,137174.2591982681,24,1020
LEDIHH,130900.85128921692,11,1009
792231,125018.6921591797,2,859
BMW,116324.17196352252,8,872
FRLB,110233.06969354535,4,748
TGNM,78118.82315450208,10,618
M1NE,62985.428203651245,10,549
GLZ,60455.04763662555,14,463
YE1LOW,55759.79548989262,4,415
NT20,54874.85507126311,2,511
SPRINT,51723.05678320299,7,380
CYCV,45443.20536544978,2,316
NT,19571.153724523476,8,139
XS9,19385.610840248723,1,167
EMZ,17731.087447588223,4,131
2S,1655.5235913879983,1,12
IQ200,1190.638803871288,1,10
VFU,523.7600311243679,1,4
2VCTRY,0.0,0,0
PTB,0.0,0,0
